# CVX http://hl7.org/fhir/sid/cvx|20250715, 287 concepts, from tx.fhir.org $expand
code	display
90	rabies, unspecified formulation
91	typhoid, unspecified formulation
92	VEE, unspecified formulation
93	RSV-MAb
94	MMRV
95	TST-OT tine test
96	TST-PPD intradermal
97	TST-PPD tine test
98	TST, unspecified formulation
99	RESERVED - do not use
100	pneumococcal conjugate PCV 7
101	typhoid, ViCPs
102	DTP-Hib-Hep B
103	meningococcal C conjugate
104	Hep A-Hep B
105	vaccinia (smallpox) diluted
106	DTaP, 5 pertussis antigens
107	DTaP, unspecified formulation
108	meningococcal ACWY, unspecified formulation
109	pneumococcal, unspecified formulation
110	DTaP-Hep B-IPV
111	Influenza, live, trivalent, intranasal, PF
112	tetanus toxoid, unspecified formulation
113	Td (adult), 5 Lf tetanus toxoid, preservative free, adsorbed
114	meningococcal MCV4P
115	Tdap
116	rotavirus, pentavalent
117	VZIG (IND)
118	HPV, bivalent
119	rotavirus, monovalent
120	DTaP-Hib-IPV
121	zoster live
122	rotavirus, unspecified formulation
123	influenza, H5N1-1203
125	Novel Influenza-H1N1-09, nasal
126	Novel influenza-H1N1-09, preservative-free
127	Novel influenza-H1N1-09
128	Novel Influenza-H1N1-09, all formulations
129	Japanese Encephalitis, unspecified formulation
130	DTaP-IPV
131	typhus, historical
132	DTaP-IPV-HIB-HEP B, historical
133	Pneumococcal conjugate PCV 13
134	Japanese Encephalitis IM
135	Influenza, high-dose, trivalent, PF
136	Meningococcal MCV4O
137	HPV, unspecified formulation
138	Td (adult)
139	Td(adult) unspecified formulation
140	Influenza, split virus, trivalent, PF
141	Influenza, split virus, trivalent, preservative
142	tetanus toxoid, not adsorbed
143	Adenovirus types 4 and 7
144	influenza, seasonal, intradermal, preservative free
145	RSV-MAb (new)
146	DTaP,IPV,Hib,HepB
147	meningococcal MCV4, unspecified formulation
148	Meningococcal C/Y-HIB PRP
149	Influenza, live, quadrivalent, intranasal
150	Influenza, split virus, quadrivalent, PF
151	influenza nasal, unspecified formulation
152	Pneumococcal Conjugate, unspecified formulation
153	Influenza, MDCK, trivalent, PF
154	Hep A, IG
155	Influenza, recombinant, trivalent, PF
156	Rho(D)-IG
157	Rho(D) -IG IM
158	Influenza, split virus, quadrivalent, preservative
159	Rho(D) - Unspecified formulation
160	Influenza A monovalent (H5N1), ADJUVANTED-2013
161	Influenza, injectable,quadrivalent, preservative free, pediatric
162	meningococcal B, recombinant
163	meningococcal B, OMV
164	meningococcal B, unspecified
165	HPV9
166	influenza, intradermal, quadrivalent, preservative free
167	meningococcal, unknown serogroups
168	Influenza, adjuvanted, trivalent, PF
169	Hep A, live attenuated
170	DTAP/IPV/HIB - non-US
171	Influenza, MDCK, quadrivalent, PF
172	cholera, WC-rBS
173	cholera, BivWC
174	cholera, live attenuated
175	Rabies - IM Diploid cell culture
176	Rabies - IM fibroblast culture
177	PCV10
178	OPV bivalent
179	OPV ,monovalent, unspecified
180	tetanus immune globulin
181	anthrax immune globulin
182	OPV, Unspecified
183	Yellow fever vaccine live - alt
184	Yellow fever, unspecified
185	Influenza, recombinant, quadrivalent, PF
186	Influenza, MDCK, quadrivalent, preservative
187	zoster recombinant
188	zoster, unspecified formulation
189	HepB-CpG
190	Typhoid conjugate vaccine (TCV)
191	meningococcal A polysaccharide (non-US)
192	meningococcal AC polysaccharide (non-US)
193	Hep A-Hep B, pediatric/adolescent
194	Influenza, Southern Hemisphere
195	DT, IPV adsorbed
196	Td, adsorbed, preservative free, adult use, Lf unspecified
197	Influenza, high-dose, quadrivalent, PF
198	DTP-hepB-Hib Pentavalent Non-US
200	influenza, Southern Hemisphere, pediatric, preservative free
201	Influenza, Southern Hemisphere, quadrivalent, PF
202	influenza, Southern Hemisphere, quadrivalent, with preservative
203	meningococcal conjugate quadrivalent, MenACWY-TT (MCV4)
204	Ebola Zaire vaccine, live, recombinant, 1mL dose
205	Influenza, adjuvanted, quadrivalent, PF
206	Vaccinia, smallpox Mpox vaccine live, PF, SQ or ID injection
207	COVID-19, mRNA, LNP-S, PF, 100 mcg/0.5mL dose or 50 mcg/0.25mL dose
208	COVID-19, mRNA, LNP-S, PF, 30 mcg/0.3 mL dose
210	COVID-19 vaccine, vector-nr, rS-ChAdOx1, PF, 0.5 mL
211	COVID-19, subunit, rS-nanoparticle+Matrix-M1 Adjuvant, PF, 0.5 mL
212	COVID-19 vaccine, vector-nr, rS-Ad26, PF, 0.5 mL
213	SARS-COV-2 (COVID-19) vaccine, UNSPECIFIED
214	Ebola, unspecified
215	Pneumococcal conjugate PCV15, polysaccharide CRM197 conjugate, adjuvant, PF
216	Pneumococcal conjugate PCV20, polysaccharide CRM197 conjugate, adjuvant, PF
217	COVID-19, mRNA, LNP-S, PF, 30 mcg/0.3 mL dose, tris-sucrose
218	COVID-19, mRNA, LNP-S, PF, 10 mcg/0.2 mL dose, tris-sucrose
219	COVID-19, mRNA, LNP-S, PF, 3 mcg/0.2 mL dose, tris-sucrose
220	HepB recombinant, 3-antigen, Al(OH)3
221	COVID-19, mRNA, LNP-S, PF, 50 mcg/0.5 mL dose
222	Tick-borne encephalitis, unspecified
223	Tick-borne encephalitis, inactivated, PF, 0.25mL
224	Tick-borne encephalitis, inactivated, PF, 0.5mL
225	COVID-19, D614, recomb, preS dTM, AS03 adjuvant add, PF, 5mcg/0.5mL
226	COVID-19, D614, recomb, preS dTM, AS03 adjuvant add, PF, 10mcg/0.5mL
227	COVID-19, mRNA, LNP-S, PF, pediatric 50 mcg/0.5 mL dose
228	COVID-19, mRNA, LNP-S, PF, pediatric 25 mcg/0.25 mL dose
229	COVID-19, mRNA, LNP-S, bivalent, PF, 50 mcg/0.5 mL or 25mcg/0.25 mL dose
230	COVID-19, mRNA, LNP-S, bivalent, PF, 10 mcg/0.2 mL
231	influenza, Southern Hemisphere, high-dose, quadrivalent
300	COVID-19, mRNA, LNP-S, bivalent, PF, 30 mcg/0.3 mL dose
301	COVID-19, mRNA, LNP-S, bivalent, PF, 10 mcg/0.2 mL dose
302	COVID-19, mRNA, LNP-S, bivalent, PF, 3 mcg/0.2 mL dose
303	RSV, recombinant, protein subunit RSVpreF, adjuvant reconstituted, 0.5 mL, PF
304	Respiratory syncytial virus (RSV), unspecified
305	RSV, bivalent, protein subunit RSVpreF, diluent reconstituted, 0.5 mL, PF
306	RSV, mAb, nirsevimab-alip, 0.5 mL, neonate to 24 months
307	RSV, mAb, nirsevimab-alip, 1 mL, neonate to 24 months
308	COVID-19, mRNA, LNP-S, PF, tris-sucrose, 3 mcg/0.3 mL
309	COVID-19, mRNA, LNP-S, PF, tris-sucrose, 30 mcg/0.3 mL
310	COVID-19, mRNA, LNP-S, PF, tris-sucrose, 10 mcg/0.3 mL
311	COVID-19, mRNA, LNP-S, PF, 25 mcg/0.25 mL
312	COVID-19, mRNA, LNP-S, PF, 50 mcg/0.5 mL
313	COVID-19, subunit, rS-nanoparticle, adjuvanted, PF, 5 mcg/0.5 mL
314	Respiratory syncytial virus (RSV) vaccine, unspecified
315	Respiratory syncytial virus (RSV) MAB, unspecified
316	Meningococcal polysaccharide (MenACWY-TT conjugate), (MenB), PF
317	Chikungunya live attenuated vaccine, 0.5 mL, PF
318	Anthrax, post-exposure prophylaxis
319	Anthrax vaccine, unspecified
320	Influenza, MDCK, trivalent, preservative
321	Influenza-avian, H5N8, monovalent, PF
322	Influenza-avian, H5N8, monovalent, preservative
323	Influenza-avian, H5, unspecified formulation
324	Poliovirus, inactivated, fractional-dose (fIPV)
325	Vaccinia (smallpox, mpox), unspecified
326	RSV, mRNA, injectable, PF
327	Pneumococcal conjugate PCV21, polysaccharide CRM197 conjugate, PF
328	Meningococcal oligosaccharide (MenACWY), (MenB), PF
329	Chikungunya, VLP, recombinant, 0.8 mL, PF
330	Dengue fever, unspecified
331	Influenza, Southern Hemisphere, trivalent, PF
332	RSV, mAb, clesrovimab-cfor, 0.7 mL, neonate and infant, PF
333	Influenza, live, trivalent, intranasal, self/caregiver admin, PF
500	COVID-19 Non-US Vaccine, Product Unknown
501	COVID-19 IV Non-US Vaccine (QAZCOVID-IN)
502	COVID-19 IV Non-US Vaccine (COVAXIN)
503	COVID-19 LAV Non-US Vaccine (COVIVAC)
504	COVID-19 VVnr Non-US Vaccine (Sputnik Light)
505	COVID-19 VVnr Non-US Vaccine (Sputnik V)
506	COVID-19 VVnr Non-US Vaccine (CanSino Biological Inc./Beijing Institute of Biotechnology
507	COVID-19 PS Non-US Vaccine (Anhui Zhifei Longcom Biopharm + Inst of Micro, Chinese Acad of Sciences)
508	COVID-19 PS Non-US Vaccine (Jiangsu Province Centers for Disease Control and Prevention)
509	COVID-19 PS Non-US Vaccine (EpiVacCorona)
510	COVID-19 IV Non-US Vaccine (BIBP, Sinopharm)
511	COVID-19 IV Non-US Vaccine (CoronaVac, Sinovac)
512	SARS-COV-2 COVID-19 VLP Non-US Vaccine (Medicago, Covifenz)
513	SARS-COV-2 COVID-19 PS Non-US Vaccine (Anhui Zhifei Longcom, Zifivax)
514	SARS-COV-2 COVID-19 DNA Non-US Vaccine (Zydus Cadila, ZyCoV-D)
515	SARS-COV-2 COVID-19 PS Non-US Vaccine (Medigen, MVC-COV1901)
516	COV-2 COVID-19 Inactivated Non-US Vaccine Product (Minhai Biotechnology Co, KCONVAC)
517	SARS-COV-2 COVID-19 PS Non-US Vaccine (Biological E Limited, Corbevax)
518	COVID-19 Inactivated, Non-US Vaccine (VLA2001, Valneva)
519	COVID-19 mRNA, bivalent, original/Omicron BA.1, Non-US Vaccine (Spikevax Bivalent), Moderna
520	COVID-19 mRNA, bivalent, original/Omicron BA.1, Non-US Vaccine Product, Pfizer-BioNTech
521	COVID-19 SP, protein-based, adjuvanted (VidPrevtyn Beta), Sanofi-GSK
801	AS03 Adjuvant
998	no vaccine administered
999	unknown
